Sample ID,Lat,Long,T3percRed
BBSL740597,45.69974,-117.2947,0.040625
BBSL740609,45.69974,-117.2947,0.040625
HH15_4004,45.50712,-118.11169,0.04375
BBSL763059,48.48593,-121.0843,0.05
HH15_3905_5,45.64764,-118.12817,0.0625
BBSL740575,46.11186,-117.25697,0.06875
BBSL740683,44.96838,-117.43202,0.06875
BBSL763259,48.51906,-120.73407,0.06875
BBSL740544,46.10825,-117.2458,0.078125
BBSL740589,45.69974,-117.2947,0.078125
BBSL740607,45.69974,-117.2947,0.078125
HH15_1003_6,40.51667,-121.49402,0.0859375
BBSL763235,48.51906,-120.73407,0.0890625
OSAC0000964249,47.530284,-122.120987,0.09375
OSAC0000963954,44.582688,-118.626081,0.10625
BBSL760354,48.09788,-123.41248,0.13125
HH15_3905_7,45.64764,-118.12817,0.1521875
OSAC0000964014,45.008934,-117.191643,0.17
OSAC0000964024,45.50189,-118.53767,0.17
OSAC0000964039,45.26756,-117.212795,0.17
HH15_1003_5,40.51667,-121.49402,0.178125
OSAC0000964210,45.008934,-117.191643,0.1796875
OSAC0000964215,45.008934,-117.191643,0.221875
BBSL740533,46.10825,-117.2458,0.221875
BBSL763083,46.09337,-117.87672,0.228125
BBSL760729,48.51715,-122.89218,0.246875
BBSL763043,48.62165,-120.83583,0.246875
BBSL989944,48.12845,-122.92823,0.246875
BBSL762971,48.59934,-120.54421,0.25625
BBSL763046,48.62165,-120.83583,0.25625
BBSL763058,48.48593,-121.0843,0.25625
OSAC0000963994,45.157039,-117.033658,0.2671875
HH15_5005_2,44.31334,-118.67955,0.284375
HH15_5005_3,44.31334,-118.67955,0.284375
HH15_4704_1,45.29559,-117.39569,0.284375
BBSL740845,46.96064,-123.10229,0.2953125
BBSL763102,46.09337,-117.87672,0.2953125
OSAC0000964099,45.008934,-117.191643,0.3046875
OSAC0000963991,44.582688,-118.626081,0.3171875
HH15_3905_1,45.64764,-118.12817,0.319375
HH15_3905_2,45.64764,-118.12817,0.319375
HH15_3905_3,45.64764,-118.12817,0.319375
HH15_3905_4,45.64764,-118.12817,0.319375
BBSL740615,45.69974,-117.2947,0.3515625
BBSL763064,48.48593,-121.0843,0.3515625
OSAC0000964000,44.324328,-118.689522,0.36875
BBSL740537,46.10825,-117.2458,0.409375
HH15_5005_1,44.31334,-118.67955,0.471875
OSAC0000963948,45.213814,-117.202736,0.4796875
OSAC0000964177,45.411217,-116.74439,0.5046875
BBSL703399,48.80855,-123.63125,0.509375
BBSL763024,48.62165,-120.83583,0.521875
OSAC0000964206,45.26756,-117.212795,0.55
OSAC0000964115,45.26756,-117.212795,0.5546875
BBSL740819,44.98977,-116.18861,0.5609375
OSAC0000964256,47.530284,-122.120987,0.565625
OSAC0000963998,45.26756,-117.212795,0.5671875
BBSL754508,45.15691,-118.06286,0.590625
HH15_3905_6,45.64764,-118.12817,0.6421875
OSAC0000964209,44.947422,-118.24537,0.6875
BBSL763075,46.09337,-117.87672,0.728125
OSAC0000964171,45.157039,-117.033658,0.76875
OSAC0000964159,45.008934,-117.191643,0.80625
HH15_4704_2,45.29559,-117.39569,0.81875
OSAC0000964208,44.947422,-118.24537,0.821875
OSAC0000964089,44.81691,-117.36419,0.8515625
BBSL763421,45.77617,-118.08175,0.8640625
OSAC0000964118,45.213814,-117.202736,0.8765625
BBSL740484,44.98977,-116.18861,0.8796875
