,affinis.png,appositus.png,auricomus.png,auricomus1.png,balteatus.png,balteatus1.png,balteatus2.png,bifarius.png,bifarius2.png,bifarius3.png,bifarius4.png,bimaculatus.png,borealis.png,borealis2.png,californicus.png,californicus2.png,californicus3.png,caliginosus.png,caliginosus2.png,centralis.png,crotchii.png,crotchii1.png,crotchii2.png,fervidus.png,flavifrons.png,flavifrons2.png,flavifrons3.png,flavifrons4.png,flavifrons5.png,flavifrons6.png,franklini.png,fraternus.png,frigidus.png,griseocollis.png,huntii.png,impatiens.png,melanopygus.png,melanopygus2.png,melanopygus3.png,mixtus.png,morrisoni.png,nevadensis.png,occidentalis.png,occidentalis2.png,occidentalis3.png,sonorus.png,pennsylvanicus.png,pennsylvanicus3.png,perplexus.png,rufocinctus.png,rufocinctus2.png,rufocinctus3.png,rufocinctus4.png,sandersoni.png,sitkensis.png,sylvicola.png,sylvicola2.png,sylvicola3.png,ternarius.png,terricola.png,terricola2.png,vagans.png,vandykei.png,vosnesenskii.png
bifarius4.png,0.02798979,0.04905321,0.03931702,0.0367356,0.04079597,0.04002835,0.0355424,0.01843889,0.00267295,0.00816837,0,0.04401209,0.04905321,0.03768758,0.0211985,0.00574222,0.01311086,0.00948474,0.03051609,0.03725587,0.02655803,0.02445829,0.02319277,0.04303112,0.05721602,0.05073735,0.03740069,0.03140884,0.03180367,0.03126568,0.0441452,0.0391407,0.0365508,0.04158601,0.02942385,0.03644212,0.01721915,0.03738234,0.04632345,0.03855827,0.06724632,0.06433657,0.04297239,0.03066136,0.02116668,0.0438636,0.03990599,0.03820422,0.05627514,0.04702163,0.0352121,0.03267922,0.03356919,0.03549814,0.03521398,0.0318286,0.00499359,0.02004569,0.02520764,0.03820422,0.03541952,0.03635782,0.02023335,0.00948474
bimaculatus.png,0.01791693,0.05933932,0.0225221,0.02271872,0.05606462,0.05962547,0.03203222,0.04422451,0.04587412,0.0433089,0.04401209,0,0.05933932,0.04936443,0.03885714,0.03683902,0.03395582,0.03861196,0.03511856,0.03723652,0.038235,0.04372146,0.01893519,0.04301556,0.03291305,0.05060931,0.02168475,0.02289935,0.02965903,0.02501331,0.03878983,0.01765724,0.05297524,0.00595328,0.05007962,0.00398629,0.05483647,0.05397715,0.04344517,0.04531058,0.03661137,0.02588943,0.05658618,0.05792955,0.06324048,0.02783601,0.01871177,0.01993102,0.01592375,0.03662056,0.01873235,0.02036378,0.02419283,0.0176996,0.05951537,0.0558979,0.03939048,0.05331296,0.03912721,0.01993102,0.03147926,0.01525616,0.03077554,0.03861196
borealis.png,0.03940386,0,0.03261715,0.02804589,0.00746452,0.01936167,0.02190584,0.02299852,0.04179356,0.05390504,0.04905321,0.05933932,0,0.00829941,0.03820835,0.03943375,0.06096574,0.05797222,0.08205187,0.0135212,0.0257021,0.02899225,0.04194485,0.01136993,0.03300542,0.02156074,0.04034908,0.04940448,0.03958518,0.04761964,0.09392804,0.03719353,0.01735793,0.06489279,0.01808061,0.05560347,0.05039811,0.02903455,0.03592203,0.03004961,0.03330369,0.03808102,0.02271046,0.08453614,0.07416757,0.02417124,0.03660522,0.0380191,0.04509538,0.01513653,0.03761199,0.03729774,0.02864067,0.03625272,0.0441005,0.02177685,0.04194549,0.02515503,0.02393085,0.0380191,0.02905432,0.0379592,0.055108,0.05797222
borealis2.png,0.02874716,0.00829941,0.02279191,0.01878783,0.00752321,0.01822488,0.01504059,0.01790041,0.03056106,0.04249139,0.03768758,0.04936443,0.00829941,0,0.02770614,0.02753127,0.0495429,0.04727263,0.07271354,0.00700422,0.02198317,0.02368095,0.03236133,0.0036498,0.02473775,0.01945275,0.03077804,0.0390303,0.03026906,0.0372824,0.08617739,0.02787379,0.01535453,0.05411828,0.01137702,0.04563671,0.04205327,0.02560087,0.03583648,0.02871811,0.02583919,0.02852526,0.02304146,0.07532296,0.06468269,0.0145895,0.02699782,0.02887659,0.03576439,0.00974564,0.03049981,0.02949192,0.0202581,0.02688392,0.03844018,0.02054008,0.0308394,0.02280338,0.0184432,0.02887659,0.02329935,0.02799267,0.04421846,0.04727263
californicus.png,0.02664029,0.03820835,0.02304729,0.0212421,0.0300721,0.03004216,0.02752683,0.01926333,0.01983579,0.02449561,0.0211985,0.03885714,0.03820835,0.02770614,0,0.01457524,0.0286004,0.03049463,0.05274319,0.0285323,0.01737973,0.01759239,0.01973446,0.02636413,0.04863301,0.04916018,0.03277199,0.03272116,0.03608174,0.0350042,0.06217369,0.03212266,0.02172997,0.04243533,0.02882333,0.03864852,0.03510978,0.03728375,0.04421162,0.03434834,0.05475568,0.04862984,0.0261186,0.05630747,0.04951867,0.02572872,0.02688696,0.02354138,0.04625854,0.03236414,0.02139481,0.02084162,0.02407309,0.03112246,0.0317734,0.03377986,0.02175596,0.02345793,0.02671283,0.02354138,0.02010106,0.03223174,0.02544471,0.03049463
californicus2.png,0.02217739,0.03943375,0.0294999,0.02700562,0.03149853,0.03216305,0.02567962,0.01591657,0.0066948,0.01187918,0.00574222,0.03683902,0.03943375,0.02753127,0.01457524,0,0.01559777,0.01433437,0.03781843,0.02887147,0.02236078,0.02007308,0.02025592,0.02969745,0.04737286,0.04217329,0.03324185,0.03058909,0.02914999,0.0315543,0.0509328,0.03087175,0.02758157,0.03617755,0.0234998,0.03001287,0.01491369,0.03009719,0.04062713,0.03724683,0.05657393,0.05231133,0.03416179,0.03547145,0.02664865,0.03179329,0.03118386,0.02987145,0.04540075,0.03583219,0.02920331,0.02695171,0.02504999,0.02977347,0.03274458,0.02734734,0.00395808,0.01962091,0.02292452,0.02987145,0.02622593,0.03015647,0.02479506,0.01433437
californicus3.png,0.02820141,0.06096574,0.03580104,0.03680768,0.05324897,0.05483333,0.04037979,0.02700598,0.01574706,0.01439034,0.01311086,0.03395582,0.06096574,0.0495429,0.0286004,0.01559777,0,0.00253431,0.01596339,0.04700515,0.02989421,0.02551629,0.0204032,0.04817962,0.05388735,0.05414533,0.03607475,0.02969516,0.03704326,0.03181457,0.02580886,0.03897818,0.04854578,0.03109826,0.04308184,0.02814556,0.02797176,0.04339778,0.04540552,0.04362132,0.06484385,0.06191228,0.04636161,0.02158372,0.02459072,0.04688535,0.03669271,0.03248628,0.05203959,0.05140856,0.03680908,0.03434564,0.03882317,0.03745576,0.04354928,0.04475905,0.01952231,0.03418846,0.03283727,0.03248628,0.0344141,0.03738384,0.01262556,0.00253431
caliginosus.png,0.03080822,0.05797222,0.03896141,0.03904876,0.05074437,0.05268647,0.04235239,0.02407886,0.01221756,0.01416913,0.00948474,0.03861196,0.05797222,0.04727263,0.03049463,0.01433437,0.00253431,0,0.01446876,0.04598961,0.03115481,0.02557273,0.02235421,0.05018419,0.05750641,0.05411914,0.03840788,0.03265938,0.03600463,0.03252048,0.02761527,0.04327168,0.04814852,0.03585093,0.03845916,0.03129238,0.02310772,0.04105977,0.044934,0.04246564,0.06843936,0.06566809,0.04676412,0.02129225,0.02059121,0.0497583,0.04012308,0.03593324,0.05738495,0.05334038,0.03965626,0.03703457,0.04092318,0.04028114,0.04335454,0.03923819,0.01414847,0.02906856,0.02980302,0.03593324,0.036415,0.04055221,0.01337566,0
caliginosus2.png,0.03853629,0.08205187,0.05268455,0.05264394,0.07521247,0.076959,0.05897874,0.04616023,0.03515415,0.03388295,0.03051609,0.03511856,0.08205187,0.07271354,0.05274319,0.03781843,0.01596339,0.01446876,0,0.06460337,0.05215707,0.04944328,0.03083312,0.0735117,0.06883212,0.07337413,0.04522675,0.03834557,0.04593492,0.037888,0.01200513,0.05184321,0.0734423,0.02966062,0.06052603,0.02753385,0.04693293,0.06138329,0.0556803,0.05917207,0.07970533,0.0733851,0.07036056,0.02095136,0.02963659,0.06425464,0.05017363,0.04717807,0.06235699,0.07025205,0.04581551,0.04543068,0.05372814,0.04872391,0.06503284,0.0602699,0.03376069,0.05188361,0.04713293,0.04717807,0.05580463,0.04768407,0.02154112,0.01446876
centralis.png,0.02108178,0.0135212,0.01716003,0.01279455,0.01312011,0.02409153,0.01376261,0.01713088,0.03114931,0.04137225,0.03725587,0.03723652,0.0135212,0.00700422,0.0285323,0.02887147,0.04700515,0.04598961,0.06460337,0,0.01994528,0.02452956,0.02456838,0.00730019,0.01692396,0.02036371,0.02272946,0.03268729,0.02523173,0.03263669,0.07788505,0.0203978,0.0197922,0.03989746,0.01307889,0.03493195,0.04367568,0.02323718,0.0261609,0.02646054,0.02063888,0.02158191,0.02815476,0.07538283,0.06795125,0.01128443,0.01832261,0.02050912,0.02712192,0.00519458,0.02109571,0.02395084,0.01668089,0.02010769,0.04076467,0.02096866,0.03102589,0.02401378,0.01396212,0.02050912,0.01990143,0.02039839,0.03985869,0.04598961
