cell,Specimen.ID,Species,T2T3Red,Lat,Lon,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
605,562528,melanopygus,0,33.140278,-116.534722,0.622929761,0.712440462,0.692180741,0.487384629,-0.069250979,0.225055833,0.235469374
545,562607,melanopygus,0,34.119167,-116.841111,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
545,562608,melanopygus,0,34.119167,-116.841111,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
545,562609,melanopygus,0,34.119167,-116.841111,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
545,562610,melanopygus,0,34.119167,-116.841111,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
545,562611,melanopygus,0,34.119167,-116.841111,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
545,562606,melanopygus,0,34.186389,-116.914444,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
545,BMEC_ENT 00006969,melanopygus,0,34.29528,-116.91392,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
545,BMEC_ENT 00006970,melanopygus,0,34.29528,-116.91392,0.646259893,0.771091318,0.692180741,0.487384629,-0.045920848,0.28370669,0.287399043
453,562284,melanopygus,0,36.380278,-120.712778,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BMEC_ENT 00006188,melanopygus,0,36.4275,-119.11611,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,BMEC_ENT 00006926,melanopygus,0,36.4275,-119.11611,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,562290,melanopygus,0,36.438333,-120.658611,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
453,562291,melanopygus,0,36.438333,-120.658611,0.65804972,0.742349002,0.692180741,0.487384629,-0.034131021,0.254964374,0.257238719
