cell,Sample ID,Lat,Long,T3percRed,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
297,OSAC0000963997,42.21281,-122.61815,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963999,42.21281,-122.61815,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964007,44.26021,-121.81009,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964023,44.16114,-122.33413,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964028,45.40055,-121.67864,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964029,45.57955,-121.79255,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964032,44.861162,-122.626908,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964033,44.861162,-122.626908,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964040,42.11987,-122.37276,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964041,42.11987,-122.37276,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964042,44.78139,-121.976606,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964051,44.39666,-122.48476,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964096,44.78139,-121.976606,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964244,48.784089,-121.81435,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964247,48.784089,-121.81435,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964250,47.530284,-122.120987,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000964255,47.530284,-122.120987,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,HH15_3305,45.30289,-121.79368,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,HH15_2101,42.30042,-122.25036,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,HH15_2605_1,43.90778,-122.1968,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,HH15_2605_2,43.90778,-122.1968,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,HH15_2605_3,43.90778,-122.1968,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,HH15_2605_4,43.90778,-122.1968,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,HH15_2605,43.90778,-122.1968,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
322,BBSL763074,46.09337,-117.87672,0,-0.802201686,-0.399104345,-1,-0.485531924,0.197798314,0.086427579,0.215856201
322,BBSL763095,46.09337,-117.87672,0,-0.802201686,-0.399104345,-1,-0.485531924,0.197798314,0.086427579,0.215856201
322,BBSL763417,45.77617,-118.08175,0,-0.802201686,-0.399104345,-1,-0.485531924,0.197798314,0.086427579,0.215856201
296,OSAC0000963941,44.38195,-123.597119,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963943,44.624385,-122.717315,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963947,42.080579,-122.717074,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963949,44.870897,-123.496196,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963950,44.624385,-122.717315,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963982,43.223236,-123.357863,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963987,43.223236,-123.357863,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963989,44.50117,-123.445156,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963990,44.553916,-123.27255,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963992,42.737879,-122.713973,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000963996,44.553916,-123.27255,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964001,46.015798,-122.876008,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964004,44.553916,-123.27255,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964008,44.50117,-123.445156,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964009,43.103519,-123.57713,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964011,46.089,-122.93594,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964012,44.553916,-123.27255,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964013,44.504302,-123.551217,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964016,44.504302,-123.551217,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
296,OSAC0000964022,44.624385,-122.717315,0,-0.700624437,-0.264257543,-1,-0.485531924,0.299375563,0.221274381,0.372274199
